,Date,Open,High,Low,Price,Volume
0,2015-11-03,543.55,546.0,539.6,542.1,47793
1,2015-11-04,542.0,548.95,538.25,541.15,50777
2,2015-11-05,541.0,541.0,535.0,539.55,28206
3,2015-11-06,540.0,544.2,538.5,540.4,26265
4,2015-11-09,533.0,534.7,526.6,532.85,164091
5,2015-11-10,532.0,532.0,526.05,527.15,96155
6,2015-11-11,531.0,532.5,525.5,526.95,31289
7,2015-11-13,526.0,529.5,520.25,525.55,61227
8,2015-11-16,524.75,532.0,523.35,529.0,70711
9,2015-11-17,533.0,533.5,526.0,530.4,75769
10,2015-11-18,530.5,533.1,523.5,524.2,67525
11,2015-11-19,526.6,535.15,525.05,534.25,32794
12,2015-11-20,534.15,539.85,530.15,534.45,61638
13,2015-11-23,535.4,537.7,530.0,532.65,29463
14,2015-11-24,533.0,536.6,531.0,531.95,27969
15,2015-11-26,532.0,533.7,529.25,532.25,31768
16,2015-11-27,531.5,540.3,531.1,539.3,39265
17,2015-11-30,542.25,542.25,535.5,537.95,50673
18,2015-12-01,536.5,541.5,536.5,540.7,37709
19,2015-12-02,542.5,545.45,535.65,537.55,25212
20,2015-12-03,537.55,540.5,534.2,537.8,32601
21,2015-12-04,535.15,536.25,529.3,530.1,34099
22,2015-12-07,533.5,536.0,530.55,531.2,43044
23,2015-12-08,531.0,531.0,523.5,524.65,30181
24,2015-12-09,524.65,528.2,522.9,524.2,41481
25,2015-12-10,525.0,531.6,522.25,530.3,47513
26,2015-12-11,525.0,530.5,521.1,522.9,31116
27,2015-12-14,522.9,529.5,520.0,527.65,35810
28,2015-12-15,527.0,530.5,523.0,528.55,27873
29,2015-12-16,532.5,536.55,530.1,533.5,47844
30,2015-12-17,539.95,541.35,532.75,539.9,67115
31,2015-12-18,540.0,542.6,534.0,536.4,42166
32,2015-12-21,537.4,539.7,534.8,537.35,26833
33,2015-12-22,538.0,538.1,527.3,532.45,278034
34,2015-12-23,535.0,539.0,534.75,536.8,48962
35,2015-12-24,537.25,537.85,534.45,537.0,19849
36,2015-12-28,537.5,539.5,533.7,538.0,53034
37,2015-12-29,539.05,540.0,535.75,539.05,18201
38,2015-12-30,539.95,540.85,536.4,537.05,34370
39,2015-12-31,538.0,542.5,538.0,541.35,39713
40,2016-01-01,542.45,545.0,538.0,544.3,30215
41,2016-01-04,543.5,543.5,534.5,535.4,59292
42,2016-01-05,539.0,539.0,530.0,530.85,52076
43,2016-01-06,530.85,538.35,530.0,532.65,48538
44,2016-01-07,531.25,532.15,524.1,526.45,152050
45,2016-01-08,531.5,532.0,528.65,530.9,26405
46,2016-01-11,529.0,530.85,522.75,528.8,93228
47,2016-01-12,529.0,530.05,522.1,524.75,34660
48,2016-01-13,528.0,531.1,519.5,529.6,471141
49,2016-01-14,525.0,528.45,519.6,524.75,72445
50,2016-01-15,524.75,527.8,518.5,521.4,203059
51,2016-01-18,512.5,520.45,512.15,514.55,201908
52,2016-01-19,514.55,519.35,513.6,517.75,275542
53,2016-01-20,517.0,517.0,504.15,508.6,171427
54,2016-01-21,513.0,516.45,507.0,511.8,73248
55,2016-01-22,513.0,521.5,513.0,515.15,83073
56,2016-01-25,517.5,523.4,516.6,519.95,135176
57,2016-01-27,524.75,524.75,516.2,517.9,81495
58,2016-01-28,517.95,523.0,515.0,516.25,41160
59,2016-01-29,516.2,526.5,516.2,524.45,42525
60,2016-02-01,527.5,533.45,527.1,530.6,40785
61,2016-02-02,530.6,532.5,526.25,527.75,37375
62,2016-02-03,524.5,525.6,520.85,521.9,26497
63,2016-02-04,525.0,527.4,523.4,525.15,84451
64,2016-02-05,525.5,531.5,524.5,528.2,41466
65,2016-02-08,528.0,529.05,515.0,518.6,30850
66,2016-02-09,515.0,515.7,510.9,513.0,73327
67,2016-02-10,513.0,514.95,505.5,506.9,57691
68,2016-02-11,508.0,508.0,485.4,488.0,111874
69,2016-02-12,491.0,493.2,483.3,486.65,239758
70,2016-02-15,498.0,498.0,485.0,487.1,242326
71,2016-02-16,490.0,490.0,481.25,486.7,138731
72,2016-02-17,487.6,490.0,479.55,487.6,97747
73,2016-02-18,491.5,495.35,488.5,494.8,190408
74,2016-02-19,494.5,496.75,487.0,494.0,58827
75,2016-02-22,497.0,498.0,492.5,495.45,95643
76,2016-02-23,495.5,495.5,483.0,484.95,161039
77,2016-02-24,481.5,481.5,472.85,474.75,85960
78,2016-02-25,476.05,478.7,471.0,473.35,103799
79,2016-02-26,474.95,485.25,473.0,479.9,84039
80,2016-02-29,481.0,491.25,464.4,486.25,208732
81,2016-03-01,490.0,493.25,486.25,492.5,64007
82,2016-03-02,497.0,505.3,497.0,504.0,92720
83,2016-03-03,503.5,509.85,503.5,506.9,65819
84,2016-03-04,507.5,512.5,497.1,510.5,81762
85,2016-03-08,510.2,511.1,505.0,507.9,36908
86,2016-03-09,508.0,515.0,503.5,512.95,76447
87,2016-03-10,512.5,512.5,505.5,510.35,46331
88,2016-03-11,510.6,515.5,506.7,514.2,64039
89,2016-03-14,514.2,518.9,512.8,513.9,74941
90,2016-03-15,515.0,515.0,510.75,513.65,2031246
91,2016-03-16,515.05,517.0,509.8,515.35,797218
92,2016-03-17,517.5,519.75,505.65,508.9,74008
93,2016-03-18,509.5,515.6,508.25,514.3,63140
94,2016-03-21,514.2,523.0,514.2,522.1,84463
95,2016-03-22,523.0,528.25,520.5,526.85,40148
96,2016-03-23,526.4,526.4,520.2,524.4,169355
97,2016-03-28,522.5,526.5,520.9,523.8,105294
98,2016-03-29,523.8,529.6,522.25,526.6,51499
99,2016-03-30,529.2,534.9,526.75,532.4,69584
100,2016-03-31,531.0,539.35,531.0,535.6,63483
101,2016-04-01,533.0,536.5,528.5,532.45,37705
102,2016-04-04,534.8,536.2,532.15,534.65,35026
103,2016-04-05,534.0,538.3,527.6,529.15,79235
104,2016-04-06,529.7,533.4,528.35,532.25,43618
105,2016-04-07,535.5,535.5,523.6,528.0,39965
106,2016-04-08,526.5,531.55,526.5,529.4,139221
107,2016-04-11,530.0,536.75,521.5,531.55,39983
108,2016-04-12,533.5,535.6,530.0,532.0,433906
109,2016-04-13,535.4,542.25,535.4,540.6,99786
110,2016-04-18,542.5,546.1,536.0,544.15,54124
111,2016-04-20,545.5,549.9,542.15,548.3,111226
112,2016-04-21,550.0,552.45,544.0,544.75,58667
113,2016-04-22,545.9,550.45,542.85,546.15,158523
114,2016-04-25,550.0,550.0,542.8,547.5,44329
115,2016-04-26,546.0,557.5,546.0,556.25,102274
116,2016-04-27,556.0,562.5,555.0,562.15,88004
117,2016-04-28,560.55,568.0,552.5,557.3,61629
118,2016-04-29,555.6,568.0,553.4,566.7,146497
119,2016-05-02,564.5,565.35,557.5,558.95,40322
120,2016-05-03,560.0,567.45,556.95,558.7,144609
121,2016-05-04,558.0,567.0,556.85,563.4,70948
122,2016-05-05,563.5,567.5,561.5,566.0,43102
123,2016-05-06,567.0,567.0,559.4,560.0,27212
124,2016-05-09,560.0,572.4,560.0,570.9,55906
125,2016-05-10,570.45,573.4,568.0,573.0,32699
126,2016-05-11,568.95,572.7,565.0,569.5,37435
